"Block Size"	"Sync?"	"Num Bytes Read"	"Wall Clock Time"	"User Time"	"Sys Time"
32768	s	1081344	0.011	0.000	0.010
65536	s	1114112	0.008	0.000	0.010
65536	s	1114112	0.008	0.000	0.010
65536	s	1114112	0.008	0.000	0.000
65536	s	1114112	0.007	0.000	0.010
65536	s	1114112	0.008	0.000	0.010
512	-	2097664	0.010	0.010	0.000
512	-	2097664	0.011	0.010	0.000
512	-	2097664	0.026	0.010	0.020
512	-	2097664	0.024	0.000	0.020
512	-	2097664	0.025	0.020	0.010
1024	-	2098176	0.007	0.000	0.010
1024	-	2098176	0.007	0.000	0.000
1024	-	2098176	0.015	0.010	0.010
1024	-	2098176	0.014	0.000	0.010
1024	-	2098176	0.015	0.000	0.010
2048	-	2099200	0.009	0.000	0.010
2048	-	2099200	0.009	0.010	0.000
2048	-	2099200	0.009	0.000	0.010
2048	-	2099200	0.007	0.000	0.010
2048	-	2099200	0.009	0.000	0.010
4096	-	2101248	0.006	0.000	0.010
4096	-	2101248	0.006	0.000	0.000
4096	-	2101248	0.006	0.000	0.000
4096	-	2101248	0.006	0.000	0.010
4096	-	2101248	0.006	0.000	0.010
8192	-	2105344	0.006	0.000	0.000
8192	-	2105344	0.006	0.000	0.010
8192	-	2105344	0.006	0.000	0.000
8192	-	2105344	0.006	0.000	0.010
8192	-	2105344	0.006	0.000	0.010
16384	-	2113536	0.005	0.000	0.000
16384	-	2113536	0.005	0.000	0.010
16384	-	2113536	0.005	0.010	0.000
16384	-	2113536	0.005	0.000	0.000
16384	-	2113536	0.006	0.000	0.010
32768	-	2129920	0.005	0.000	0.000
32768	-	2129920	0.005	0.000	0.010
32768	-	2129920	0.002	0.000	0.000
32768	-	2129920	0.005	0.000	0.000
32768	-	2129920	0.005	0.000	0.010
65536	-	2162688	0.005	0.000	0.000
65536	-	2162688	0.005	0.000	0.010
65536	-	2162688	0.005	0.000	0.000
65536	-	2162688	0.005	0.000	0.010
65536	-	2162688	0.005	0.000	0.000
512	s	2097664	0.852	0.050	0.810
512	s	2097664	0.857	0.040	0.820
512	s	2097664	0.879	0.040	0.840
512	s	2097664	0.836	0.050	0.780
512	s	2097664	0.835	0.030	0.800
1024	s	2098176	0.429	0.030	0.410
1024	s	2098176	0.429	0.010	0.410
1024	s	2098176	0.452	0.020	0.440
1024	s	2098176	0.442	0.010	0.420
1024	s	2098176	0.434	0.020	0.420
2048	s	2099200	0.232	0.010	0.220
2048	s	2099200	0.234	0.020	0.220
2048	s	2099200	0.234	0.000	0.230
2048	s	2099200	0.224	0.000	0.220
2048	s	2099200	0.231	0.020	0.210
4096	s	2101248	0.126	0.010	0.120
4096	s	2101248	0.134	0.000	0.130
4096	s	2101248	0.133	0.010	0.130
4096	s	2101248	0.132	0.000	0.130
